username,qualification,skills,technical_job_role,non_technical_job_role
user0,10th Pass,Technical Skill 416,Technical Job Role 4975,Non-Technical Field 318
user1,10th Pass,Technical Skill 894,Technical Job Role 5359,Non-Technical Field 793
user2,10th Pass,Technical Skill 556,Technical Job Role 8913,Non-Technical Field 856
user3,10th Pass,Technical Skill 434,Technical Job Role 240,Non-Technical Field 824
user4,10th Pass,Technical Skill 204,Technical Job Role 6862,Non-Technical Field 855
user5,10th Pass,Technical Skill 732,Technical Job Role 1627,Non-Technical Field 469
user6,12th Pass,Technical Skill 821,Technical Job Role 2274,Non-Technical Field 14
user7,M.Tech,Technical Skill 135,Technical Job Role 9312,Non-Technical Field 941
user8,M.Tech,Technical Skill 293,Technical Job Role 4285,Non-Technical Field 251
user9,10th Pass,Technical Skill 642,Technical Job Role 3380,Non-Technical Field 224
user10,10th Pass,Technical Skill 583,Technical Job Role 8845,Non-Technical Field 62
user11,10th Pass,Technical Skill 338,Technical Job Role 7797,Non-Technical Field 52
user12,B.Tech,Technical Skill 801,Technical Job Role 9996,Non-Technical Field 837
user13,12th Pass,Technical Skill 811,Technical Job Role 7056,Non-Technical Field 63
user14,B.Tech,Technical Skill 552,Technical Job Role 1651,Non-Technical Field 760
user15,10th Pass,Technical Skill 897,Technical Job Role 3667,Non-Technical Field 419
user16,12th Pass,Technical Skill 365,Technical Job Role 5232,Non-Technical Field 133
user17,12th Pass,Technical Skill 857,Technical Job Role 1723,Non-Technical Field 433
user18,B.Tech,Technical Skill 592,Technical Job Role 2487,Non-Technical Field 378
user19,M.Tech,Technical Skill 896,Technical Job Role 7427,Non-Technical Field 374
user20,12th Pass,Technical Skill 802,Technical Job Role 615,Non-Technical Field 911
user21,10th Pass,Technical Skill 883,Technical Job Role 6882,Non-Technical Field 182
user22,12th Pass,Technical Skill 386,Technical Job Role 6440,Non-Technical Field 26
user23,B.Tech,Technical Skill 783,Technical Job Role 471,Non-Technical Field 381
user24,M.Tech,Technical Skill 152,Technical Job Role 8105,Non-Technical Field 841
user25,12th Pass,Technical Skill 261,Technical Job Role 5420,Non-Technical Field 742
user26,B.Tech,Technical Skill 713,Technical Job Role 2924,Non-Technical Field 71
user27,M.Tech,Technical Skill 14,Technical Job Role 5610,Non-Technical Field 204
user28,10th Pass,Technical Skill 596,Technical Job Role 3029,Non-Technical Field 836
user29,10th Pass,Technical Skill 901,Technical Job Role 7021,Non-Technical Field 731
user30,B.Tech,Technical Skill 840,Technical Job Role 6186,Non-Technical Field 669
user31,B.Tech,Technical Skill 998,Technical Job Role 4216,Non-Technical Field 636
user32,12th Pass,Technical Skill 897,Technical Job Role 5011,Non-Technical Field 845
user33,M.Tech,Technical Skill 811,Technical Job Role 1807,Non-Technical Field 437
user34,B.Tech,Technical Skill 53,Technical Job Role 8620,Non-Technical Field 786
user35,12th Pass,Technical Skill 546,Technical Job Role 1099,Non-Technical Field 393
user36,10th Pass,Technical Skill 799,Technical Job Role 6675,Non-Technical Field 783
user37,10th Pass,Technical Skill 172,Technical Job Role 3738,Non-Technical Field 233
user38,B.Tech,Technical Skill 827,Technical Job Role 9279,Non-Technical Field 667
user39,B.Tech,Technical Skill 609,Technical Job Role 6001,Non-Technical Field 524
user40,10th Pass,Technical Skill 466,Technical Job Role 9488,Non-Technical Field 969
user41,12th Pass,Technical Skill 859,Technical Job Role 4770,Non-Technical Field 872
user42,M.Tech,Technical Skill 139,Technical Job Role 315,Non-Technical Field 164
user43,B.Tech,Technical Skill 630,Technical Job Role 5929,Non-Technical Field 114
user44,12th Pass,Technical Skill 990,Technical Job Role 4133,Non-Technical Field 5
user45,10th Pass,Technical Skill 918,Technical Job Role 8028,Non-Technical Field 264
user46,10th Pass,Technical Skill 547,Technical Job Role 3360,Non-Technical Field 574
user47,12th Pass,Technical Skill 925,Technical Job Role 3608,Non-Technical Field 22
user48,M.Tech,Technical Skill 466,Technical Job Role 7319,Non-Technical Field 554
user49,10th Pass,Technical Skill 194,Technical Job Role 5077,Non-Technical Field 563
user50,B.Tech,Technical Skill 399,Technical Job Role 8549,Non-Technical Field 605
user51,10th Pass,Technical Skill 774,Technical Job Role 9842,Non-Technical Field 28
user52,B.Tech,Technical Skill 398,Technical Job Role 8649,Non-Technical Field 129
user53,10th Pass,Technical Skill 981,Technical Job Role 3277,Non-Technical Field 752
user54,10th Pass,Technical Skill 885,Technical Job Role 6095,Non-Technical Field 462
user55,10th Pass,Technical Skill 735,Technical Job Role 8214,Non-Technical Field 372
user56,B.Tech,Technical Skill 506,Technical Job Role 6631,Non-Technical Field 362
user57,B.Tech,Technical Skill 648,Technical Job Role 3237,Non-Technical Field 933
user58,B.Tech,Technical Skill 419,Technical Job Role 6588,Non-Technical Field 811
user59,M.Tech,Technical Skill 977,Technical Job Role 8871,Non-Technical Field 760
user60,10th Pass,Technical Skill 331,Technical Job Role 3058,Non-Technical Field 774
user61,B.Tech,Technical Skill 920,Technical Job Role 8268,Non-Technical Field 572
user62,B.Tech,Technical Skill 442,Technical Job Role 7440,Non-Technical Field 889
user63,B.Tech,Technical Skill 225,Technical Job Role 3654,Non-Technical Field 363
user64,M.Tech,Technical Skill 475,Technical Job Role 1343,Non-Technical Field 580
user65,12th Pass,Technical Skill 641,Technical Job Role 3665,Non-Technical Field 682
user66,10th Pass,Technical Skill 208,Technical Job Role 4698,Non-Technical Field 30
user67,12th Pass,Technical Skill 557,Technical Job Role 335,Non-Technical Field 295
user68,10th Pass,Technical Skill 910,Technical Job Role 1515,Non-Technical Field 243
user69,B.Tech,Technical Skill 891,Technical Job Role 3258,Non-Technical Field 109
user70,12th Pass,Technical Skill 627,Technical Job Role 2922,Non-Technical Field 5
user71,M.Tech,Technical Skill 152,Technical Job Role 8883,Non-Technical Field 287
user72,B.Tech,Technical Skill 432,Technical Job Role 7933,Non-Technical Field 542
user73,M.Tech,Technical Skill 511,Technical Job Role 7444,Non-Technical Field 622
user74,10th Pass,Technical Skill 597,Technical Job Role 1379,Non-Technical Field 290
user75,12th Pass,Technical Skill 995,Technical Job Role 3141,Non-Technical Field 970
user76,12th Pass,Technical Skill 907,Technical Job Role 6063,Non-Technical Field 750
user77,12th Pass,Technical Skill 964,Technical Job Role 1307,Non-Technical Field 297
user78,10th Pass,Technical Skill 650,Technical Job Role 977,Non-Technical Field 814
user79,B.Tech,Technical Skill 269,Technical Job Role 336,Non-Technical Field 633
user80,10th Pass,Technical Skill 191,Technical Job Role 7754,Non-Technical Field 815
user81,10th Pass,Technical Skill 67,Technical Job Role 3092,Non-Technical Field 685
user82,M.Tech,Technical Skill 76,Technical Job Role 6208,Non-Technical Field 405
user83,M.Tech,Technical Skill 903,Technical Job Role 8524,Non-Technical Field 976
user84,M.Tech,Technical Skill 845,Technical Job Role 885,Non-Technical Field 883
user85,10th Pass,Technical Skill 273,Technical Job Role 4626,Non-Technical Field 956
user86,B.Tech,Technical Skill 824,Technical Job Role 4529,Non-Technical Field 522
user87,10th Pass,Technical Skill 479,Technical Job Role 1679,Non-Technical Field 724
user88,12th Pass,Technical Skill 259,Technical Job Role 8155,Non-Technical Field 917
user89,12th Pass,Technical Skill 192,Technical Job Role 5536,Non-Technical Field 23
user90,B.Tech,Technical Skill 995,Technical Job Role 2133,Non-Technical Field 759
user91,B.Tech,Technical Skill 551,Technical Job Role 926,Non-Technical Field 859
user92,10th Pass,Technical Skill 844,Technical Job Role 9218,Non-Technical Field 640
user93,M.Tech,Technical Skill 783,Technical Job Role 7352,Non-Technical Field 771
user94,10th Pass,Technical Skill 641,Technical Job Role 3951,Non-Technical Field 105
user95,10th Pass,Technical Skill 331,Technical Job Role 2227,Non-Technical Field 119
user96,M.Tech,Technical Skill 578,Technical Job Role 1932,Non-Technical Field 154
user97,B.Tech,Technical Skill 527,Technical Job Role 3653,Non-Technical Field 61
user98,M.Tech,Technical Skill 414,Technical Job Role 681,Non-Technical Field 293
user99,M.Tech,Technical Skill 516,Technical Job Role 6651,Non-Technical Field 891
user100,12th Pass,Technical Skill 467,Technical Job Role 4193,Non-Technical Field 226
user101,12th Pass,Technical Skill 123,Technical Job Role 4880,Non-Technical Field 498
user102,10th Pass,Technical Skill 365,Technical Job Role 9733,Non-Technical Field 668
user103,12th Pass,Technical Skill 53,Technical Job Role 6310,Non-Technical Field 488
user104,B.Tech,Technical Skill 235,Technical Job Role 790,Non-Technical Field 794
user105,B.Tech,Technical Skill 814,Technical Job Role 7600,Non-Technical Field 423
user106,10th Pass,Technical Skill 673,Technical Job Role 517,Non-Technical Field 385
user107,B.Tech,Technical Skill 966,Technical Job Role 7753,Non-Technical Field 555
user108,M.Tech,Technical Skill 310,Technical Job Role 7022,Non-Technical Field 727
user109,M.Tech,Technical Skill 719,Technical Job Role 3937,Non-Technical Field 71
user110,M.Tech,Technical Skill 291,Technical Job Role 7008,Non-Technical Field 61
user111,B.Tech,Technical Skill 793,Technical Job Role 1403,Non-Technical Field 879
user112,B.Tech,Technical Skill 910,Technical Job Role 6913,Non-Technical Field 633
user113,B.Tech,Technical Skill 578,Technical Job Role 5754,Non-Technical Field 396
user114,12th Pass,Technical Skill 625,Technical Job Role 44,Non-Technical Field 963
user115,12th Pass,Technical Skill 540,Technical Job Role 5963,Non-Technical Field 381
user116,B.Tech,Technical Skill 674,Technical Job Role 7001,Non-Technical Field 860
user117,M.Tech,Technical Skill 46,Technical Job Role 7112,Non-Technical Field 680
user118,12th Pass,Technical Skill 355,Technical Job Role 1194,Non-Technical Field 399
user119,M.Tech,Technical Skill 406,Technical Job Role 8519,Non-Technical Field 755
user120,10th Pass,Technical Skill 967,Technical Job Role 3139,Non-Technical Field 755
user121,12th Pass,Technical Skill 972,Technical Job Role 9517,Non-Technical Field 596
user122,B.Tech,Technical Skill 210,Technical Job Role 3640,Non-Technical Field 238
user123,12th Pass,Technical Skill 923,Technical Job Role 9920,Non-Technical Field 242
user124,12th Pass,Technical Skill 341,Technical Job Role 7408,Non-Technical Field 214
user125,12th Pass,Technical Skill 585,Technical Job Role 7539,Non-Technical Field 16
user126,12th Pass,Technical Skill 65,Technical Job Role 575,Non-Technical Field 669
user127,B.Tech,Technical Skill 12,Technical Job Role 680,Non-Technical Field 28
user128,10th Pass,Technical Skill 527,Technical Job Role 6744,Non-Technical Field 369
user129,12th Pass,Technical Skill 44,Technical Job Role 79,Non-Technical Field 358
user130,M.Tech,Technical Skill 491,Technical Job Role 2243,Non-Technical Field 363
user131,B.Tech,Technical Skill 526,Technical Job Role 4961,Non-Technical Field 300
user132,M.Tech,Technical Skill 556,Technical Job Role 9298,Non-Technical Field 427
user133,12th Pass,Technical Skill 889,Technical Job Role 2175,Non-Technical Field 911
user134,B.Tech,Technical Skill 549,Technical Job Role 5264,Non-Technical Field 182
user135,10th Pass,Technical Skill 672,Technical Job Role 8438,Non-Technical Field 395
user136,M.Tech,Technical Skill 416,Technical Job Role 2228,Non-Technical Field 201
user137,12th Pass,Technical Skill 160,Technical Job Role 7933,Non-Technical Field 920
user138,10th Pass,Technical Skill 742,Technical Job Role 712,Non-Technical Field 256
user139,B.Tech,Technical Skill 54,Technical Job Role 2233,Non-Technical Field 829
user140,M.Tech,Technical Skill 470,Technical Job Role 5759,Non-Technical Field 595
user141,10th Pass,Technical Skill 484,Technical Job Role 226,Non-Technical Field 45
user142,M.Tech,Technical Skill 262,Technical Job Role 9568,Non-Technical Field 818
user143,12th Pass,Technical Skill 325,Technical Job Role 1165,Non-Technical Field 239
user144,12th Pass,Technical Skill 868,Technical Job Role 4950,Non-Technical Field 23
user145,M.Tech,Technical Skill 146,Technical Job Role 7632,Non-Technical Field 530
user146,10th Pass,Technical Skill 820,Technical Job Role 1480,Non-Technical Field 200
user147,10th Pass,Technical Skill 7,Technical Job Role 3877,Non-Technical Field 638
user148,12th Pass,Technical Skill 326,Technical Job Role 3075,Non-Technical Field 566
user149,B.Tech,Technical Skill 80,Technical Job Role 5041,Non-Technical Field 574
user150,10th Pass,Technical Skill 521,Technical Job Role 6661,Non-Technical Field 110
user151,B.Tech,Technical Skill 710,Technical Job Role 2562,Non-Technical Field 743
user152,M.Tech,Technical Skill 448,Technical Job Role 2593,Non-Technical Field 74
user153,B.Tech,Technical Skill 528,Technical Job Role 1870,Non-Technical Field 354
user154,B.Tech,Technical Skill 199,Technical Job Role 9948,Non-Technical Field 36
user155,M.Tech,Technical Skill 699,Technical Job Role 3260,Non-Technical Field 43
user156,10th Pass,Technical Skill 184,Technical Job Role 1646,Non-Technical Field 804
user157,12th Pass,Technical Skill 412,Technical Job Role 2743,Non-Technical Field 592
user158,B.Tech,Technical Skill 470,Technical Job Role 8004,Non-Technical Field 24
user159,M.Tech,Technical Skill 60,Technical Job Role 4582,Non-Technical Field 650
user160,M.Tech,Technical Skill 971,Technical Job Role 3607,Non-Technical Field 605
user161,12th Pass,Technical Skill 22,Technical Job Role 4240,Non-Technical Field 535
user162,10th Pass,Technical Skill 349,Technical Job Role 9969,Non-Technical Field 828
user163,10th Pass,Technical Skill 261,Technical Job Role 6827,Non-Technical Field 862
user164,10th Pass,Technical Skill 457,Technical Job Role 6604,Non-Technical Field 531
user165,12th Pass,Technical Skill 108,Technical Job Role 6582,Non-Technical Field 178
user166,M.Tech,Technical Skill 800,Technical Job Role 5322,Non-Technical Field 382
user167,B.Tech,Technical Skill 357,Technical Job Role 4060,Non-Technical Field 851
user168,M.Tech,Technical Skill 890,Technical Job Role 6082,Non-Technical Field 273
user169,12th Pass,Technical Skill 858,Technical Job Role 1054,Non-Technical Field 794
user170,M.Tech,Technical Skill 483,Technical Job Role 9334,Non-Technical Field 252
user171,10th Pass,Technical Skill 791,Technical Job Role 5001,Non-Technical Field 299
user172,10th Pass,Technical Skill 132,Technical Job Role 723,Non-Technical Field 773
user173,12th Pass,Technical Skill 988,Technical Job Role 1298,Non-Technical Field 733
user174,10th Pass,Technical Skill 709,Technical Job Role 1297,Non-Technical Field 814
user175,M.Tech,Technical Skill 784,Technical Job Role 1829,Non-Technical Field 973
user176,10th Pass,Technical Skill 513,Technical Job Role 1451,Non-Technical Field 705
user177,M.Tech,Technical Skill 484,Technical Job Role 7610,Non-Technical Field 685
user178,10th Pass,Technical Skill 893,Technical Job Role 869,Non-Technical Field 331
user179,B.Tech,Technical Skill 761,Technical Job Role 7815,Non-Technical Field 343
user180,B.Tech,Technical Skill 483,Technical Job Role 5602,Non-Technical Field 131
user181,10th Pass,Technical Skill 554,Technical Job Role 5567,Non-Technical Field 1
user182,M.Tech,Technical Skill 973,Technical Job Role 695,Non-Technical Field 932
user183,M.Tech,Technical Skill 620,Technical Job Role 714,Non-Technical Field 145
user184,12th Pass,Technical Skill 451,Technical Job Role 2633,Non-Technical Field 299
user185,B.Tech,Technical Skill 310,Technical Job Role 247,Non-Technical Field 701
user186,10th Pass,Technical Skill 451,Technical Job Role 5702,Non-Technical Field 116
user187,B.Tech,Technical Skill 611,Technical Job Role 2707,Non-Technical Field 798
user188,12th Pass,Technical Skill 459,Technical Job Role 7446,Non-Technical Field 569
user189,10th Pass,Technical Skill 290,Technical Job Role 788,Non-Technical Field 895
user190,10th Pass,Technical Skill 357,Technical Job Role 8576,Non-Technical Field 829
user191,B.Tech,Technical Skill 510,Technical Job Role 9557,Non-Technical Field 452
user192,12th Pass,Technical Skill 85,Technical Job Role 8783,Non-Technical Field 164
user193,12th Pass,Technical Skill 166,Technical Job Role 7059,Non-Technical Field 238
user194,M.Tech,Technical Skill 301,Technical Job Role 2726,Non-Technical Field 375
user195,12th Pass,Technical Skill 445,Technical Job Role 4903,Non-Technical Field 20
user196,12th Pass,Technical Skill 198,Technical Job Role 2621,Non-Technical Field 802
user197,B.Tech,Technical Skill 364,Technical Job Role 404,Non-Technical Field 409
user198,12th Pass,Technical Skill 559,Technical Job Role 8360,Non-Technical Field 308
user199,12th Pass,Technical Skill 590,Technical Job Role 2315,Non-Technical Field 263
user200,12th Pass,Technical Skill 172,Technical Job Role 9107,Non-Technical Field 536
user201,10th Pass,Technical Skill 375,Technical Job Role 1306,Non-Technical Field 765
user202,10th Pass,Technical Skill 415,Technical Job Role 5850,Non-Technical Field 550
user203,12th Pass,Technical Skill 506,Technical Job Role 3994,Non-Technical Field 832
user204,M.Tech,Technical Skill 408,Technical Job Role 4520,Non-Technical Field 102
